,timestamp,fromba,generation_type,Usage (MWh)
520,2024-01-16,BANC,Solar,4.6904560123192406e-08
521,2024-01-16,BANC,Natural gas,7.943926864500677e-06
522,2024-01-16,BANC,Other,6.06658153659472e-08
523,2024-01-16,BANC,Hydro,1.50443469287694e-06
524,2024-01-15,CISO,Solar,inf
525,2024-01-15,CISO,Hydro,inf
526,2024-01-15,CISO,Other,inf
527,2024-01-15,CISO,Nuclear,inf
528,2024-01-15,CISO,Wind,inf
529,2024-01-15,CISO,Natural gas,inf
530,2024-01-15,CISO,Petroleum,-inf
531,2024-01-15,CISO,Coal,
532,2024-01-15,BANC,Solar,4.528265963803451e-08
533,2024-01-15,BANC,Other,2.8267357228591242e-08
534,2024-01-15,BANC,Hydro,7.30011361437405e-07
535,2024-01-15,BANC,Natural gas,3.6007490222478315e-06
536,2024-01-15,BPAT,Other,0.0
537,2024-01-15,BPAT,Solar,0.0
538,2024-01-15,BPAT,Hydro,0.0
539,2024-01-15,BPAT,Natural gas,0.0
540,2024-01-15,BPAT,Wind,0.0
541,2024-01-15,BPAT,Nuclear,0.0
542,2024-01-15,TIDC,Hydro,0.07092706651010913
543,2024-01-15,TIDC,Natural gas,0.72933489890876
544,2024-01-14,BANC,Hydro,4.3417505394349167e-07
545,2024-01-14,BANC,Natural gas,2.494585576915684e-06
546,2024-01-14,BANC,Other,2.003076561076463e-08
547,2024-01-14,BANC,Solar,4.314823936482742e-08
548,2024-01-14,BPAT,Natural gas,0.0
549,2024-01-14,BPAT,Wind,0.0
550,2024-01-14,BPAT,Solar,0.0
551,2024-01-14,BPAT,Other,0.0
552,2024-01-14,BPAT,Hydro,0.0
553,2024-01-14,BPAT,Nuclear,0.0
554,2024-01-14,CISO,Other,2.5202386697363784e-26
555,2024-01-14,CISO,Wind,-1.6132759652004687e-25
