,period,respondent,respondent-name,fueltype,type-name,timezone,timezone-description,Generation (MWh),value-units,timestamp
120,2024-01-10,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,247,megawatthours,2024-01-10
121,2024-01-10,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,6622,megawatthours,2024-01-10
122,2024-01-10,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,34587,megawatthours,2024-01-10
123,2024-01-10,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,313,megawatthours,2024-01-10
124,2024-01-09,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,307,megawatthours,2024-01-09
125,2024-01-09,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,6468,megawatthours,2024-01-09
126,2024-01-09,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,33468,megawatthours,2024-01-09
127,2024-01-09,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,350,megawatthours,2024-01-09
128,2024-01-08,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,940,megawatthours,2024-01-08
129,2024-01-08,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,6757,megawatthours,2024-01-08
130,2024-01-08,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,322,megawatthours,2024-01-08
131,2024-01-08,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,41985,megawatthours,2024-01-08
132,2024-01-07,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,6958,megawatthours,2024-01-07
133,2024-01-07,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,1072,megawatthours,2024-01-07
134,2024-01-07,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,368,megawatthours,2024-01-07
135,2024-01-07,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,31532,megawatthours,2024-01-07
136,2024-01-06,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,79,megawatthours,2024-01-06
137,2024-01-06,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,7191,megawatthours,2024-01-06
138,2024-01-06,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,32279,megawatthours,2024-01-06
139,2024-01-06,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,376,megawatthours,2024-01-06
140,2024-01-05,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,32596,megawatthours,2024-01-05
141,2024-01-05,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,376,megawatthours,2024-01-05
142,2024-01-05,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,1053,megawatthours,2024-01-05
143,2024-01-05,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,6294,megawatthours,2024-01-05
144,2024-01-04,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,950,megawatthours,2024-01-04
