,timestamp,fromba,Power consumed locally (MWh)
505,2023-07-31,CISO,0
506,2023-07-31,TIDC,1799
507,2023-08-01,BPAT,0
508,2023-08-01,CISO,0
509,2023-08-01,TIDC,1850
510,2023-08-02,BPAT,0
511,2023-08-02,CISO,0
512,2023-08-02,TIDC,1755
513,2023-08-03,BPAT,0
514,2023-08-03,CISO,3053
515,2023-08-03,TIDC,1481
516,2023-08-04,BPAT,486
517,2023-08-04,CISO,3428
518,2023-08-04,TIDC,3241
519,2023-08-05,BPAT,165
520,2023-08-05,CISO,653
521,2023-08-05,TIDC,5133
522,2023-08-06,BPAT,4194
523,2023-08-06,CISO,5283
524,2023-08-06,TIDC,6172
525,2023-08-07,BPAT,3978
526,2023-08-07,CISO,6907
527,2023-08-07,TIDC,5902
528,2023-08-08,BPAT,1920
529,2023-08-08,CISO,1430
530,2023-08-08,TIDC,3584
531,2023-08-09,BPAT,17220
532,2023-08-09,CISO,0
533,2023-08-09,TIDC,2704
534,2023-08-10,BPAT,24812
535,2023-08-10,CISO,0
536,2023-08-10,TIDC,1115
537,2023-08-11,BPAT,18473
538,2023-08-11,CISO,0
539,2023-08-11,TIDC,3607
540,2023-08-12,BPAT,8204
541,2023-08-12,CISO,0
542,2023-08-12,TIDC,6028
543,2023-08-13,BPAT,0
544,2023-08-13,CISO,4745
545,2023-08-13,TIDC,6729
546,2023-08-14,BPAT,0
547,2023-08-14,CISO,5781
548,2023-08-14,TIDC,6176
549,2023-08-15,BPAT,2657
550,2023-08-15,CISO,4107
551,2023-08-15,TIDC,4745
552,2023-08-16,BPAT,9015
553,2023-08-16,CISO,147
554,2023-08-16,TIDC,2568
555,2023-08-17,BPAT,13964
556,2023-08-17,CISO,670
557,2023-08-17,TIDC,2012
558,2023-08-18,BPAT,27338
559,2023-08-18,CISO,0
560,2023-08-18,TIDC,0
561,2023-08-19,BPAT,15558
562,2023-08-19,CISO,0
563,2023-08-19,TIDC,1569
564,2023-08-20,BPAT,14327
565,2023-08-20,CISO,0
566,2023-08-20,TIDC,1852
567,2023-08-21,BPAT,11042
568,2023-08-21,CISO,0
569,2023-08-21,TIDC,3192
570,2023-08-22,BPAT,21081
571,2023-08-22,CISO,0
572,2023-08-22,TIDC,2432
573,2023-08-23,BPAT,19949
574,2023-08-23,CISO,0
575,2023-08-23,TIDC,3525
576,2023-08-24,BPAT,19775
577,2023-08-24,CISO,0
578,2023-08-24,TIDC,1488
579,2023-08-25,BPAT,9559
580,2023-08-25,CISO,0
581,2023-08-25,TIDC,206
582,2023-08-26,BPAT,7769
583,2023-08-26,CISO,0
584,2023-08-26,TIDC,1961
585,2023-08-27,BPAT,1384
586,2023-08-27,CISO,0
587,2023-08-27,TIDC,2988
588,2023-08-28,BPAT,6698
589,2023-08-28,CISO,634
590,2023-08-28,TIDC,1950
591,2023-08-29,BPAT,24290
592,2023-08-29,CISO,0
593,2023-08-29,TIDC,0
594,2023-08-30,BPAT,29810
595,2023-08-30,CISO,0
596,2023-08-30,TIDC,0
597,2023-08-31,BPAT,20730
598,2023-08-31,CISO,0
599,2023-08-31,TIDC,1734
600,2023-09-01,BPAT,7785
601,2023-09-01,CISO,0
602,2023-09-01,TIDC,2300
603,2023-09-02,BPAT,12182
604,2023-09-02,CISO,0
605,2023-09-02,TIDC,2030
606,2023-09-03,BPAT,17939
607,2023-09-03,CISO,0
608,2023-09-03,TIDC,2131
609,2023-09-04,BPAT,21392
610,2023-09-04,CISO,0
611,2023-09-04,TIDC,3238
612,2023-09-05,BPAT,12896
